N,warps=1,warps=2,warps=4,warps=8,warps=16
16.000000,0.040960,0.015360,0.013312,0.014336,0.016384
32.000000,0.040960,0.015360,0.013312,0.013312,0.016384
64.000000,0.044032,0.016384,0.013312,0.013312,0.016384
